2025-04-24 09:26:49,183 - INFO - Logger started. File path: ../logs/Filtering_20250424_092649.log
2025-04-24 09:26:49,419 - INFO - Loaded IBGE Metadata from file: ../data/metadata/ibge_series.json
2025-04-24 09:26:49,651 - DEBUG - Loaded backend module://matplotlib_inline.backend_inline version unknown.
2025-04-24 09:26:49,689 - DEBUG - Loaded backend module://matplotlib_inline.backend_inline version unknown.
2025-04-24 09:26:49,717 - DEBUG - findfont: Matching sans\-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=12.0.
2025-04-24 09:26:49,718 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizOneSymBol.ttf', name='STIXSizeOneSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-04-24 09:26:49,718 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-Oblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-04-24 09:26:49,718 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono.ttf', name='DejaVu Sans Mono', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-24 09:26:49,718 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmss10.ttf', name='cmss10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-24 09:26:49,718 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansDisplay.ttf', name='DejaVu Sans Display', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-24 09:26:49,718 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXGeneralBol.ttf', name='STIXGeneral', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-04-24 09:26:49,721 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizTwoSymReg.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-24 09:26:49,721 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2025-04-24 09:26:49,721 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Italic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-04-24 09:26:49,721 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSansMono-BoldOblique.ttf', name='DejaVu Sans Mono', style='oblique', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-04-24 09:26:49,721 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXSizThreeSymBol.ttf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-04-24 09:26:49,721 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2025-04-24 09:26:49,721 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2025-04-24 09:26:49,723 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\STIXNonUniBolIta.ttf', name='STIXNonUnicode', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2025-04-24 09:26:49,723 - DEBUG - findfont: score(FontEntry(fname='c:\\Users\\acarm\\Documents\\GitHub\\PMA-Gabriel\\.venv\\Lib\\site-packages\\matplotlib\\mpl-data\\fonts\\ttf\\DejaVuSerif-BoldItalic.ttf', name='DejaVu Serif', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
