data,valor
1996-01-01,175440.76
1996-04-01,177662.72
1996-07-01,183826.34
1996-10-01,182461.78
1997-01-01,184299.61
1997-04-01,185327.33
1997-07-01,187324.91
1997-10-01,189244.83
1998-01-01,185502.27
1998-04-01,188521.33
1998-07-01,188361.57
1998-10-01,186470.43
1999-01-01,186768.56
1999-04-01,187538.06
1999-07-01,187737.54
1999-10-01,190316.38
2000-01-01,192382.16
2000-04-01,194948.43
2000-07-01,197616.17
2000-10-01,199860.55
2001-01-01,200333.4
2001-04-01,199596.34
2001-07-01,198723.56
2001-10-01,197778.91
2002-01-01,202805.99
2002-04-01,203528.82
2002-07-01,206081.91
2002-10-01,208099.86
2003-01-01,207420.16
2003-04-01,205691.21
2003-07-01,207427.82
2003-10-01,209570.46
2004-01-01,212685.29
2004-04-01,218409.43
2004-07-01,221137.22
2004-10-01,222933.19
2005-01-01,224803.64
2005-04-01,227275.48
2005-07-01,225929.81
2005-10-01,229039.46
2006-01-01,232280.76
2006-04-01,233279.3
2006-07-01,237171.11
2006-10-01,240111.23
2007-01-01,244271.07
2007-04-01,248568.7
2007-07-01,251123.47
2007-10-01,254789.74
2008-01-01,258183.16
2008-04-01,263471.84
2008-07-01,267429.18
2008-10-01,257450.96
2009-01-01,254016.21
2009-04-01,258495.54
2009-07-01,264587.04
2009-10-01,271221.58
2010-01-01,277057.98
2010-04-01,280526.36
2010-07-01,283008.36
2010-10-01,286889.22
2011-01-01,291079.34
2011-04-01,293668.08
2011-07-01,293184.22
2011-10-01,295921.18
2012-01-01,291820.64
2012-04-01,296811.35
2012-07-01,301970.88
2012-10-01,302185.36
2013-01-01,303651.22
2013-04-01,308024.21
2013-07-01,309307.87
2013-10-01,309884.44
2014-01-01,312187.25
2014-04-01,308093.5
2014-07-01,307793.84
2014-10-01,309139.62
2015-01-01,306622.6
2015-04-01,299663.57
2015-07-01,294978.47
2015-10-01,292125.63
2016-01-01,288133.09
2016-04-01,288997.98
2016-07-01,287538.03
2016-10-01,287260.54
2017-01-01,290048.04
2017-04-01,292337.03
2017-07-01,293276.78
2017-10-01,295014.38
2018-01-01,296401.15
2018-04-01,296335.88
2018-07-01,298981.53
2018-10-01,298397.37
2019-01-01,299236.08
2019-04-01,301031.62
2019-07-01,300915.03
2019-10-01,303392.09
2020-01-01,296699.2
2020-04-01,270498.24
2020-07-01,291796.79
2020-10-01,302626.31
2021-01-01,305600.54
2021-04-01,303662.22
2021-07-01,304003.28
2021-10-01,307631.27
2022-01-01,310259.36
2022-04-01,313773.87
2022-07-01,316729.68
2022-10-01,318379.22
2023-01-01,322734.49
2023-04-01,325098.83
2023-07-01,325382.44
2023-10-01,326670.87
2024-01-01,329888.59
2024-04-01,334229.58
2024-07-01,336725.78
2024-10-01,337306.93
