data,valor
1996-01-01,189323
1996-02-01,204611
1996-03-01,221513
1996-04-01,239316
1997-01-01,219117
1997-02-01,232890
1997-03-01,246178
1997-04-01,253904
1998-01-01,235701
1998-02-01,251936
1998-03-01,258043
1998-04-01,256671
1999-01-01,250668
1999-02-01,268709
1999-03-01,274126
1999-04-01,294208
2000-01-01,276927
2000-02-01,292789
2000-03-01,308896
2000-04-01,320481
2001-01-01,312470
2001-02-01,323724
2001-03-01,332524
2001-04-01,347038
2002-01-01,342297
2002-02-01,367363
2002-03-01,379795
2002-04-01,399333
2003-01-01,397242
2003-02-01,418987
2003-03-01,439350
2003-04-01,462372
2004-01-01,444783
2004-02-01,481795
2004-03-01,505252
2004-04-01,525920
2005-01-01,499710
2005-02-01,535557
2005-03-01,552859
2005-04-01,582458
2006-01-01,554270
2006-02-01,581977
2006-03-01,617848
2006-04-01,655355
2007-01-01,631423
2007-02-01,670655
2007-03-01,691846
2007-04-01,726339
2008-01-01,712055
2008-02-01,769525
2008-03-01,812603
2008-04-01,815620
2009-01-01,756127
2009-02-01,803577
2009-03-01,852843
2009-04-01,920492
2010-01-01,886397
2010-02-01,944145
2010-03-01,997935
2010-04-01,1057370
2011-01-01,1016531
2011-02-01,1086712
2011-03-01,1112334
2011-04-01,1160805
2012-01-01,1129474
2012-02-01,1183126
2012-03-01,1230449
2012-04-01,1271711
2013-01-01,1241614
2013-02-01,1322580
2013-03-01,1354134
2013-04-01,1413291
2014-01-01,1385981
2014-02-01,1422322
2014-03-01,1462125
2014-04-01,1508525
2015-01-01,1456659
2015-02-01,1479970
2015-03-01,1508228
2015-04-01,1550930
2016-01-01,1500299
2016-02-01,1559050
2016-03-01,1577170
2016-04-01,1632808
2017-01-01,1585673
2017-02-01,1630730
2017-03-01,1648635
2017-04-01,1720441
2018-01-01,1682083
2018-02-01,1734099
2018-03-01,1767856
2018-04-01,1820103
2019-01-01,1757554
2019-02-01,1826761
2019-03-01,1880610
2019-04-01,1924206
2020-01-01,1868095
2020-02-01,1752724
2020-03-01,1929323
2020-04-01,2059455
2021-01-01,2156670
2021-02-01,2203639
2021-03-01,2295851
2021-04-01,2355982
2022-01-01,2319528
2022-02-01,2517481
2022-03-01,2601182
2022-04-01,2641485
2023-01-01,2581018
2023-02-01,2727580
2023-03-01,2769445
2023-04-01,2865301
2024-01-01,2753200
2024-02-01,2921229
2024-03-01,2989913
2024-04-01,3080367
